status_message,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
"""I always thought of kids as being simple in a way.  I knew that having a child would be challenging, but I underestimated how complicated their emotions can be.  I thought I'd have greater influence over my child's mood.  I imagined that I'd be able to make him happy when he's unhappy.  I hoped that I would always have a solution.  But you learn quickly that some unhappiness doesn't have a quick fix.  And often it's just part of who he is.  And that can be painful to accept.  Sometimes I just have to provide as much guidance as possible, and trust that he'll find comfort within himself.""",1/12/17 20:45,152995,2237,7815,131210,21033,501,17,231,3
"""My mom and I have always been close.  But we had to learn how to communicate again after my dad died.  It took therapy.  We'd stopped being honest with each other.  My dad's illness had been so stressful that we didn't want to create any additional worries.  So we tried to protect each other.  Neither of us would admit if we were having a bad day.  Or if we were feeling depressed.  The answer to everything was always: 'I'm fine.'  But we weren't fine.  And it was obvious.  So we worried about each other all the time.  It caused a lot of stress and arguments.   We had to relearn how to admit when we were having a bad day.  Because you can never truly know if someone's 'fine' unless you trust them to tell you when something's wrong.""",1/9/17 20:17,233325,2664,8625,199840,27760,203,30,5482,10
"""I call them clobber verses.  There are six of them.  They're the verses that get used to hammer gay people.  The funny thing is that I never felt pressured by God himself.  Only his followers.  But I desperately wanted God to change me.  I didn't want to be part of a group with so much shame attached to it.  So I started praying in my twenties for God to make me straight.  If I could have taken a pill, I would have.  I joined the ministry.  I got married.  I told my wife that I'd had experiences with men, but I convinced both of us that I could choose to be different.  I wanted to be normal.  I wanted kids.  I thought it was just a matter of commitment.  I even tried to take reparative therapy classesäóîjust to show her I was serious.  They tried to teach me that homosexuality wasn't real.  They said that I'd just had an overbearing mother.  But I couldn't change.  I kept slipping up.  I couldn't give my wife what she needed.  My marriage ended.  I had tried so hard but nothing worked.  I got so angry with God for not keeping up his end of the bargain.  But after some time, I finally realized why he wouldn't change me.  He never felt like he needed to.""",1/8/17 13:52,349467,7457,28108,255859,78506,913,52,14067,70
"""I like watching her get excited about things.  She has a very distinct look when amazement comes over her face.  Like she gets really excited about dachshunds.  I always text her pictures of dachshunds.  Or the tile work at the 81st street subway station.  She loves that.  Or warm socks.  I meanäó_ warm socks are kind of exciting to me.  But she really loves warm socks.""",1/7/17 19:25,274294,8030,10016,219897,51080,46,3253,16,2
"""I thought when I came to New York it was going to be this huge change of scenery and that I could be whoever I want to be.  I thought there'd always be a plan, or an event, and that I'd never feel alone, and that I'd be very 'fabulous' äóî for lack of a better word.  'Carrie Bradshaw-esque,' so to speak.  But in reality, I still spend a lot of time alone.  I think it's because I'm afraid of being a burden on those around me.  What if I'm not fun enough?  What if the parts of me that are sad and complaining outweigh the parts of me that are good?  Will I be wasting other people's time?  And when I do spend time with other people, I'm afraid to demand a certain level of kindness and respect.  Because maybe that will make me even more of a burden.  So I don't reach out to other people very much.  I spend a lot of time alone.  But then I still get mad when I look on Snapchat and see people hanging out without me.  But I'm trying to change my thinking.  I'm not allowed to feel left out if I'm not making an effort.  I'm not the protagonist of reality.  I can't expect good relationships to happen just because I exist.""",1/4/17 16:45,153922,5152,8215,133824,14676,266,32,5119,5
"""Last year I started figure modeling for art classes.  I'm plus-sized, so I was a little worried about being nude.  I was nervous about everyone seeing my stomach, and my thighs, and all my fat.  But apparently my curves are fun to draw.  In the classroom, all the features I saw as negative were viewed as assets.  One student told me that it's no fun to draw straight lines.  It's been liberating for me.  I've always been insecure about my belly.  But now my belly has been part of so many beautiful pieces of art.""",1/2/17 21:03,264130,3231,10679,205073,58022,958,66,6,5
"""I want to be a stand up comic.  The hardest thing is to find material that's not just funnyäóîbut also true.  Funny can just be a surprise.  But good comedy articulates truth in a certain way.  And I don't think I've experienced enough to know what's true for other people.  I've had a bit of a charmed life.  Nothing too traumatic has happened to me.  I have a lot of creative energy but I'm not sure that I have the arsenal to back it up.  Recently I was at an open mic upstate, and there was an older guy performing who used to be a heroin addict.  There was just this sense that you should be paying attention to every word he says, and not just the punch line.  I'm not there yet.""",12/30/16 19:45,100822,2338,1598,94672,5615,451,60,18,6
"""I felt like sometimes she didn't want me born.  I was like Cinderellaäóîeven though I was a dude.  She blamed me for everything.  Maybe it's because I was ugly, I guess.  Girls were all running from me.  My brothers were better looking.  When I grew older, it was all about money.  Mom and I never discussed anything personal.  It seemed like she always wanted something from me.  One time I called her crying, because I was trying to quit marijuana, and I felt really depressed.  She just told me: 'You're wasting all that money on weed.  You could be giving it to me instead.""  She used to cash my student loan checks.  One time she even used my social security number to get a credit card, and I didn't even know until I got the bill.  So I detached myself from her.  I stopped answering the phone.  Then two years ago she called to tell me she had cancer, and she needed an operation, but I didn't even answer the phone.  I thought she was tricking me again.  She left a message, it said: 'Michael, I've been trying to get a hold of you.  I love you.  And I know you love me.'  And I just ignored it.  And she died.  And I'm haunted by that.  I've been trying to write about my life lately, but I can't get past my mother.  I wish I could just start my story with that phone call.  With her saying that she loved me.  The only other time I ever felt love from her was when I tried crack cocaine.  I was a teenager, and I had been using for a couple weeks, and I went in her room to ask for baking soda.  She started crying, and she looked scared, and she said: 'Michael, why do you need baking soda?'  And I felt love at that moment.  And it was so strong that I quit doing crack right then.  I never used again.  I didn't go to a program or anything.  That's how strong that feeling was.""",12/28/16 16:45,267256,8894,11550,152789,26779,1854,93,85641,100
"""I'm what they call 'ethnically ambiguous,' so I get a lot of work as a background actor.  I'm playing a 'parkgoer' today.  It's my 25th job since October.  In Madam Secretary alone, I've played an Israeli military officer, a Colombian college student, and an advisor to the Iranian president.  And that was all in the same season.  They'll keep using you as long as you don't have any speaking lines.  Maybe one day I'll have a recurring role, but right now I'm really grateful to be doing this.  My parents are immigrants from El Salvador.  They are the hardest working people I know.  They were really skeptical about me wanting to be an actor, so I love that they get to see me working.   My first gig was a Hallmark Christmas movie with Melissa Joan Hart and Dean Cain.  My parents couldn't believe that I was on the same show as Sabrina The Teenage Witch and Superman.""",12/23/16 12:43,199461,2257,2439,177931,18606,254,2633,33,4
"""When the last kid left for college, it came to a point where it was just pretense.  And I couldn't hide it anymore.  I was tired of worrying if people suspected, or if they'd find out, or if they'd still care about me if they knew.  The first person I came out to was my wife.  It was wrenching.  It was the end of our marriage.  I just kept telling her I was sorry.  I think she felt abandoned.  And I'm sorry for that.  I also think she felt that our life together was a lie.  But I don't see it that way.  We were a family.  We had four wonderful children that we raised to adulthood.  And those are facts.  I'm not happy about the hurt I caused.  But I feel authentic now.   I regret the things I did, but I'm so happy about what I've done.""",12/20/16 14:52,142957,4790,2462,113578,18312,893,18,9738,418
"""My mom has been really sick for 50 to 60 percent of my life.  She had a nervous breakdown when my father left, and she ended up in a psychiatric ward.  Then she had breast cancer twice while I was young.  I was her only child so it was a lot of pressure.  While my friends were at the playground, I'd be coming home to pick my mother up off the bathroom floor.  I'm newly married now and have a child on the way.  But I still have to worry about her all the time.  She never remarried, so I'm all she has.  She's on oxygen now.  She was so sick during my honeymoon that I had to call the hospital every three hours.  Every evening when I get home from work, she has a list of things for me to do.  If I don't visit for a few days, she tells me how selfish I am.  She'll say: 'Forget it.  I'm fine without visitors.  Don't come back.'  I don't know what I want to happen.  But I'm starting a new family.  And I'm at the point where I'd like some freedom to live my life.""",12/19/16 16:45,114892,5142,2021,68868,6154,393,31,39220,226
"""I teach English at a community college in Queens.  I love the job, but I hate grading papers.  I'd prefer to just have one continuous discussion about Shakespeare.  I envy the math teachers who can just put their tests through a Scantron machine.  Placing value on a student's writing is much more nuanced and complicated.  What if they have great ideas but their English language skills aren't as developed?  What if English is their second language?  What if they've faced major challenges in life?  Do I ignore those things?  Or do I consider context while grading?  I want to set high standards and prepare my students for what comes next.  But so many of them already have a self-defeating attitude.  And I don't want to discourage them any further.""",12/17/16 15:19,290233,7739,22582,248898,36693,538,44,4033,27
"""My father wants me to come home to Botswana.  He tells me that he's getting older and he needs me to come home.  I miss my family, but I want to stay here.  Life is different for me here.  I've met so many people from so many cultures.  I've done half marathons.  I even did a triathlon.  It's different back in Botswana.  I was completely dependent on my father.  Women don't leave home until they get married.  So I'd like to stay here.  But my sister is the only family that I have in America.  And last week she told me that she's moving back to Botswana.  So now I'll be on my own.  And I'm worried.  Because I don't like to ask for help.  But I never had a problem asking her for help.  And now I won't have that anymore.  But a few months ago I joined something at my church called a 'connect group.'  And now I have so many friends.  They are like my sisters.  We have brunches, and dinners, and go hiking.  I feel very loved by them.  So I'm hoping they will be like my family.""",12/15/16 17:00,120899,2003,1609,102526,16820,89,22,1435,7
"It's that time of the year.  Drummers are drumming.  Angels are harking.  And the fourth annual HONY For The Holidays is upon us!  Every holiday season we try to connect people in New York City who would like to share a holiday meal.  Why?  Because nothing is worse than being alone on Christmas or Hanukkah.  Maybe you can't afford to go home.  Maybe home is too far away.  Or maybe home isn't much of a home at all.  It doesn't matter.  If you are going to be alone over the holidays-- send us an email.  We'll match you up with somebody who has an extra seat at the table.  And if you DO have a gathering planned, consider making room for one more.  We need a host for every guest.  So if you have a place to go this Christmas, please consider sharing your good fortune.  As always, matches are approved by guests and hosts before anyone is connected.  So there are no surprises.  If you are interested in participating, please email: honyfortheholidays@gmail.com---------------------------------Indicate in the subject line whether you'd like to be a GUEST or HOST.  GUESTS: Please share a little bit about yourself and why you are interested in joining HONY for the Holidays. Be sure to include your residing neighborhood, how far you are willing to travel, any dietary restrictions, and which day you are looking for holiday plans (the 24th or 25th). HOSTS: Please share a little bit about yourself and the gathering you will be hosting. Also be sure to include which day and time you will be hosting a gathering, how many ""seats"" you have available to guests, the type of meal you will be serving (ie meat, vegetarian), and where you are located.----------------------------------Important Note:  Founder, CEO, and Chairman of The Board for HONY For The Holidays is my wife Erin-- who does everything.  I just try to write a clever promotion.",12/14/16 18:47,44908,938,2670,34064,10665,153,18,6,2
"""I was first exposed to ballet at the age of seven when a traveling company came to my church in North Carolina.  By the time I was eleven I was practicing six days a week.  It became my all-consuming monastic devotion.  I eventually made it to the New York City Ballet.  I've always seen ballet as my way of serving God.  I think it's what God has called me to do.  You can call it frivolous, or superficial.   But you can stretch that argument to infinity.  Why do we have painting?  Why do we have architecture?  I think it's all a form of worship.  In a secular age the theater becomes the cathedral.  There can be such a lack of empathy and collaboration in this world.  But in the theater we see beauty and order and harmony modeled for us-- two hours at a time.  And it took a lot of sacrifice to make that possible.""",12/12/16 18:14,246456,4071,13980,201153,43856,1381,42,12,12
"""My parents are old school.  We're from Bolivia.  The daughter isn't supposed to leave the house until she's married.  But I left when I was nineteen because I couldn't take the constant fighting about how to live my life.  It's not that I wanted to be promiscuous.  I just wanted to explore New York and have black friends and white friends and gay friends.  I've had a bad relationship with my parents ever since.  I ended up marrying a Dominican boy from Corona.  He's been nothing but good to me.  But they've never accepted him.  We got married at City Hall.  I'm thirty-three now.  We just had our first child.  So I thought things would finally get better with my parents.  I thought we could relate as equals now that I have my own child.  Maybe they'd finally accept my choices.  But they're still the same.  My mother helps babysit my child while I'm at work.   She does everything her own way.  She criticizes all my decisions.  When I insist on raising my child a certain way, she gets upset.  She starts crying and reminds me that I left the house when I was nineteen.  Then my father calls and yells at me for upsetting my mother.  It breaks my heart.  But I'm realizing that a good relationship with my parents will always require doing exactly what they say.""",12/11/16 15:27,126107,5014,3598,87309,4211,479,37,33583,488
"""I'm scared to go back to work.  I just called out someone in front of a large group of people.  I just wouldn't let it go.  I should have taken it offline, but I had to be right.  I could have stepped back, watched the movie version of myself, and seen how my behavior was being seen by the people around me.  But no--- I just couldn't let it go.  My therapist would be so upset with me right now.  I almost went home, but there was a woman taking a diarrhea shit on the train platform.  So I think God, who I don't even believe in, is telling me that I need to go back to the office and figure this out.""",12/8/16 20:16,52372,2552,1201,45539,1853,3392,1134,448,6
"""I'm not sure if people have become less interesting, or if I'm just less interested in people.""",12/6/16 16:39,276387,7259,24199,251353,14432,278,9914,404,6
"""I come from Ghana.  I'm always smiling.  People ask me: 'Isaac, why are you always smiling?'  I tell them: 'What else can I do?'  I am so blessed to be in this country.  I work in customer service at the CVS on 57th Street and I love it.  CVS is the best place that I love so much.  I help people with their needs and it makes me so happy.  I help them with their coupons.  I help them with their medication.  People bring me their challenges and I solve their problems.  You can say that I am their champion.  I am not a citizen.  But when I help people with their problems, that makes me part of the community.  So I do feel like an American.""",12/5/16 18:02,661693,11608,39124,520381,140026,1033,184,55,14
"""We've been together for twenty years.  I've never dated anyone else.  But there's no intimacy.  There's no ring on the finger.  He doesn't even want his family to know we're together.  Maybe it's my weight.  Maybe it's a status thing.  But he keeps me away from his family.  I accidentally sat by his sister at a basketball game, and his jaw nearly dropped to the floor.  We've only made love once.  That was twelve years ago.   He won't kiss me or touch me.  I've just stopped asking.  But he insists that we're in a relationship.  He got mad when I tried to change my relationship status to 'single.'  He got on my computer and changed it back.  I didn't even know that he knew my password.   I told myself that I was OK with it.  I told myself that I'm OK with not being touched.  But I don't think I am.   I recently went to a therapist for the first time.  I was so scared he'd find out that I parked my car next door.  But maybe it would be good if he found out.  Maybe he'd leave me and give me a chance.""",12/1/16 16:32,224254,28626,10009,73285,2227,3895,96,120839,23912
"""We didn't expect to be raising our granddaughter.  We used to talk about moving to the country when we retired.  Now we talk about moving to the best school districts.  I'm working as much as I can.  I worry every day that something will happen to us before she's grown.  I'm going to the gym more.  I'm trying to stay healthy.  I'm enrolled in a special savings program for her college education.  I've been adding money to it since the day she was born.  Because if something happens to me, the amount doubles.""",11/30/16 17:45,165269,2834,3219,123602,30683,651,22,10299,12
"""I grew up in the suburbs.  I used to think that I could write a prescription for a poor man: 'Get a job, save your money, pull yourself up by the bootstraps.'  I don't believe that anymore.  I was ignorant to the experiences of poor people.  I'd invite anyone to come and meet the people who live in this neighborhood.  Right now we are surrounded by working poor people.  These are the people who sell your tools at Sears, and fix your roofs, and take care of your parents, and mow your lawns, and serve your meals.  They're not getting a living wage.  There's no money left to save.  There's nothing left if they get sick.  Nothing left if their car breaks down.  And God forbid they make a mistake, because there's nothing left to pay fines or fees.  When you're down here, the system will continue to kick dirt in your face.  You can't pull yourself up when there's nothing to grab onto.  We aren't paying our brothers and sisters enough to live.  We want them to serve us, but we aren't serving them.""",11/30/16 11:47,468143,9031,139140,381233,42252,1042,63,42146,1407
"This Sunday I spoke with John Dickerson on Face The Nation about the Macomb Series, and the power of a random interview.",11/29/16 19:17,10232,313,1090,8627,1541,59,3,1,1
"""All the bosses care about is getting the job done.  So if you have a good work ethic, the work falls on you more.  The bosses know that it's easier to push a good worker than it is to get a bad worker to do their job.  It's the path of least resistance.  Especially when the boss happens to be friends with the bad workers.   It used to really bother me.  I couldn't stand the injustice of it.  But I've had to learn to let it go.  I was bringing the stress home with me.  I'd get mad at little things and slam drawers.  I was even having rage dreams.  I abhor violence, but I was having dreams where the boss would criticize my work and my hands would go around his neck.  So I had to learn to let it go.  I used to really care about the job.  But I've had to just start viewing it as a paycheck.""",11/29/16 16:54,89036,5230,10668,68934,2747,434,38,16520,363
"""My ninety-year-old mother just moved in with us.  So I've become a full time caretaker.  I'm all she's got.   My father passed away and I'm her only child.  So I'm it.  Right now she has a lot of negativity.  She seems to fixate on the negative side of things.  If I suggest going outside, she'll say it's too cold.  If I suggest that we go shopping, she'll say there's too much traffic.  She wants her independence, but when she has it, she gets lonely.  It's hard for me.  Because I'm a positive person by nature.  And it's hard to deal with so much negative energy.  My husband is worried about me.   He thinks it's too much to deal with.  I have a family, a life, and a business.  But I'd be even more of a wreck if I put her in assisted living.  I need to know for sure that she's getting the proper care.  Because for all her negativity, my mother always taught us respect.  Respect your toys.  Respect your parents.  Respect other people.  Respect their property.  Respect is the basis for everything.  Without it, everything falls apart.""",11/29/16 11:06,119619,3879,3054,99565,12387,143,12,7495,17
"""This was supposed to be a regular ""hi mom"" visit.  It was my first time coming home in five years.  I was expecting my mother to pick me up from the airport, but my sister-in-law was there when I landed.  She told me that my mother was in the hospital.  She was bleeding internally and had a blood clot in her leg.  Right after we arrived, two surgeons sat me down, and told me they needed a decision immediately.  They'd given my mother eleven units of blood and they wanted to amputate her leg and give her a colonoscopy bag.  At first I asked if we could do nothing.  But then I told them to go ahead and do it.  And I think I made the wrong decision.  She's recovering now, and it's becoming apparent that she'll never be able to do basic things by herself.  And I know my mother.  She's a very independent woman.  She rakes her own leaves and blows the snow off her own driveway.  She wouldn't want to live like this.  She'd never say this to me, but I think she feels that I let her down.""",11/28/16 13:45,78977,3090,1442,35425,3095,367,14,40042,34
"SIX HOURS LEFT to get HONY Stories for $10.  (66% off retail.)  The book is marked down 50% for Black Friday weekend, and you can get an additional 30% off by using the coupon codes below.  (Amazon requires buying 2 books to get the $10 price this year.)  Both codes are valid until midnight.  This is by far the lowest price you'll be able to find for the next 362 days.  There have never been any advertisements or sponsorships on HONY, so the work is almost entirely funded by book sales.  (In addition to a handful of paid speeches that I give each year.)  So if you'd like to support the blog and share HONY with friends, please consider giving one as a gift.  Thank you, and Happy Holidays!  AMAZONHONY Stories: http://amzn.to/2gI0dsu* Humans of New York: http://amzn.to/2fwMrnq $10 off $25 Purchase Coupon Code: HOLIDAYBOOKBARNES AND NOBLEHONY Stories: http://bit.ly/1IdvkoaHumans of New York: http://bit.ly/18Namem30% off Coupon Code: BNBFRIDAY16",11/27/16 17:15,12301,893,829,11254,933,103,7,3,1
"""I've been on my own since the age of twelve.  My mom decided that her drug-dealing boyfriend was more important than me.  One night I came home from playing and the key wouldn't turn.  I started banging on the door but nobody answered. I lived with friends for the next few years.  I went from house to house, couch to couch.  My friend's mom was a bartender so she got me a job washing dishes.  I saved enough money to get a car when I turned sixteen, and I drove out to Arizona.  I was pregnant by the time I was twenty-one.  My son changed my life.  I didn't turn into Mother Theresa overnight.  I had to unlearn everything I'd ever known.  I had to learn how to do things the right way, not sell drugs, not cut corners.  Right now I'm trying to finish college while being a single mother.  I'm taking care of my eighty-three year old grandmother.  I just beat cancer for the second time in four years.  But things seem to be quiet now.  I'm always holding my breath, though.  The story of my life has been the calm before the storm.""",11/26/16 20:25,477038,11039,13996,381414,63658,25896,105,5930,35
"""My grandmother got me a violin when I was thirteen.  Whenever people were fighting, and I wanted to get away, I'd just go in my room and play.  Sometimes I'd play for four or five hours per night.  It gave me a lot of confidence.  I started playing in front of the church, in front of the school--- it made me feel good about myself.  But my mom struggled a lot.  She made a lot of mistakes.  She got in some bad relationships and we lived in a lot of different places.  Sometimes we'd go weeks without having power.  One time it got really bad and we had to start selling our stuff.  She didn't ask me to sell my violin.  But we'd already sold our TV.  And she just asked if I had any ideas.  I ended up selling it to a friend for $145.  I was really upset for a while.  I'm a Christian, and God knew how much I loved the violin.  So I was confused why he'd make me sell it.  For a few months, I tried to keep playing in the music room at school.  But eventually I had to stop so I could focus on paying the bills.  I got a real job at the grocery store.""",11/26/16 10:24,167136,3185,4770,78853,7413,406,55,80184,225
"""I fostered thirteen little babies in my life.  It's just a passion I have in my heart.  Often they'd just come wrapped in a blanket.  I could only foster one at a time because I had five children of my own.  But one time a mother dropped three children off on my doorstep.  She had just given them chocolate ice cream.  I'll never forget how the ice cream was dripping off their faces.  Most of the time I'd only have the children for a few months.  And once they were adopted, I'd never contact them again.  But I often wonder what happened to them.  Maybe we'll meet again in heaven.""",11/25/16 10:45,504425,8687,21215,360830,136898,930,82,5675,10
"""I thought I was going to work until I died.  But they came in and told me that I was too old and that I didn't know the computer.  They thought I was obsolete.  If that's trueäóîthen how did I get so far without the computer?  I've got that computer in my head.  I can design the whole process.  I can start with a blank sheet of paper and cycle the whole line: the robots, the tooling, everything.  That was my life.  At night when I go to sleep, I'm still building welding lines.  There were only 1800 of us in this town that could do it.   And each of us had our own style.  People could recognize Norm Szewsky's work.  But you know what happened?  They took all 1800 of our brains, and they put them in a computer.  So now a guy who don't know nothing can just press a button, and out comes a clamp.  Oh well, I don't really give a shit.  I'm checking out soon.""",11/22/16 16:40,105584,2359,4331,73322,1377,2657,233,27449,546
"(3/3)  ""I miss that we can't go out and dance.  Or visit other people.   We used to volunteer at the senior center every Wednesday.  She'd play the piano, and I'd turn the pages for her.  The hymns were some of the last things she remembered.  Music was her life.  But one day she wouldn't play anymore.  And I told the staff that they'd need to find someone else.  So we stay here now.  But I don't see this as a curse.  It's an honor.  This is what the Lord has given me to do.  She has served this family her entire life.  And now it's my turn to serve her.  I might not have her mentally.  But I have her.   I can still make her smile.  I can make bubbly noises, and blow on her, and she'll smile.  Every morning we'll sit in this chair and we'll cuddle until noon.  I rock this lady more than I rock my grandchildren.  She likes to slip her hand under my shirt to feel my skin.  And she still likes to kiss.  Every once in awhile she'll reach up and give me a kiss.  Sometimes she starts 'yakking.'   She doesn't say actual words.   And it doesn't make any sense.  But I never tell her to be quiet, because it's better than nothing at all.""",11/21/16 16:50,708979,32110,85150,400494,239612,1031,215,67559,68
"(2/3) ""We celebrated our 50th wedding anniversary in Branson, Missouri.  On the drive home, she kept telling me that we were going the wrong way.  She was very insistent.  I didn't fight her.  I kept letting her turn around because I knew that eventually we'd hit the main road back to Michigan.  I knew then.  Her father had dementia.  And so did his father.  So I knew what was happening.  Soon she started forgetting names.  When it started getting really bad, she wanted to walk away.  She was always trying to leave the house.  I'd have to lie in front of the door to keep her from going.  One morning I woke up and I couldn't find her.  I freaked out: 'Where did she go?  Where did she go?'  I ran outside and it was totally dark.  Down the road there was a streetlight.  And I could barely see heräóîcrossing the road.  I ran and I got her.  But she fought me.  She didn't want to come back home.""",11/21/16 14:36,221513,5527,9919,110319,32263,259,59,78566,47
"(1/3)  ""I was nineteen.  She was sixteen.  Our dates were normally on Sunday.  We didn't do much of anything.  We were conservative.  I was a farmer.  We weren't those swinging type people.  But every date was a little more cuddly.  Then she took me to her senior prom.  It was just ten miles from hereäóîin Richmond.  I was the only one there without a tuxedo.  All those city folks didn't know what to make of me.  I can't tell you when we fell in love.  I can't even tell you when I asked her to marry me.  It was just natural.  I think we were just sitting in the car and I gave her the ring.  I don't have many big moments to share.  We were simple people.  They were all happy days.""",11/21/16 12:08,227101,5572,9171,174085,50535,119,52,2305,5
"""Don't get me wrong.  I want everyone to get along.  And I don't want to sound racist.  But they're coming into our country.  If you ask me, that makes them racist.  There's something going on with the Muslims.  There's something going on there.  There's a lot we don't know about.  They have a game plan.  They want all the businesses.  They want control.  They want my grandchildren to work for them.  I'm hoping he can do something about it.  We need somebody to say no.""",11/20/16 18:28,95273,24411,9686,17271,595,5094,1751,21486,49076
"""This racial stuff to me is BS and I'm tired of hearing it.  I have it made because I'm a white male?  I'm prejudiced?  That shit is long ago.  Way long ago.  Enough of it.  It's all the media.  It's all for ratings.  It's this false racial shit that they keep pumping into everybody's head.  They're keeping everyone on edge.  If there's a police shootingäóîit's white versus black.  Always white versus black.  Who cares about the facts?  Race is more important.  Watching the news, you'd think there was a race war out there.  But then I walk outside and I just don't see it.  I hold the door for the black guy.  He holds the door for me.  I wouldn't even know there was a problem if it wasn't for the television.  They need to quit making shit out of nothing.""",11/20/16 15:25,105454,7046,7488,81310,7546,1219,228,2934,12217
"""I feel homeless.  Like this isn't the place that I thought it was.  I feel like I don't understand where I am.  Where we all are.  Last week students started chanting 'build the wall' in the lunchroom of a local middle school.  Some of the Hispanic children started crying.  If you're the principal-- how are you supposed to stop that behavior?  If the president can behave in a certain way, how are you supposed to tell a child that it's unacceptable?  How does that hold up?  It breaks my heart.  I've had friends reach out to me.  They've told me: 'I understand the reasons that you're upset.  But those aren't the reasons I voted for him.'  And I'm just starting to understand that.  I'm realizing that a lot of people wanted change more than they wanted kids not to cry.  We all have our own code of ethics.  My bottom line happened to be tolerance.  Their bottom line was abortion.  Or the Supreme Court.  I guess we all have the right to choose our own bottom line.""",11/20/16 11:02,302691,6860,49116,209462,19284,891,123,72177,754
"""This isn't the first time I've owned a flower shop.  I owned another store twenty years ago, but it went bankrupt.  I was devastated.  I'd just gotten divorced.  I felt like a complete failure.  For months I couldn't even drive down the street where the shop had been.  But one day a friend told me that I'd been looking at it all wrong.  He told me: 'You're focused too much on the closing.  Think of all the years that the shop was open.  Think of all the jobs you provided, the flowers that you sold, and all the people that you served.  You were open for twenty years.  It was happening.  And just because it didn't happen forever, doesn't mean it wasn't valuable.'""",11/19/16 16:45,211996,1982,6634,184694,26772,456,29,45,0
"""I just think that people are looking to blame someone else for their problems.  They're worried about the wrong stuff.  They're too fixated on what other people are getting.  I wasn't able to go to college.  My mom raised five kids on her own.  I've had to work since I was sixteen.  So I haven't gotten to do all the things I wanted to do.  But I've never complained.  I've never been 'too good' for a job.  I worked at Burger King.  I worked at Walmart.  Now I work at Chrysler.  And I got promoted at all three places.  I've never had a problem getting noticed.  Managers notice things.  If you don't complain, and work hard, and pick up shifts, you'll move up.  So I don't complain.  I'm twenty-eight now.  I have no debt.   Chrysler even has a program where they'll pay for my college.  I've got enough to help out my mom.  I'm actually picking her up a new dryer right now.""",11/19/16 13:57,372285,5367,16206,312257,58633,1297,55,34,9
"""I thought we were happy.  We had two kids.  She was a great mom.  But three or four years into our marriage, she started playing that Sims game online.  You can be anyone in that game.  She could be the perfect wife or whatever.  She was always on that computer.  Then she started playing this other game where you can marry, date, and screw people.  All of it is fake, but people actually develop feelings for each other.  In real life these guys are probably 450 lbs. but online they look like Superman.  There was actually one guy that she called 'her Superman.'  He even started mailing Superman trinkets to the house.  She wouldn't quit.  I even tried to break her cellphone with my hand.  I just wanted her to live her life with us.  But we weren't enough for her.""",11/18/16 14:04,94903,6118,2601,42667,350,5594,179,45731,382
"""I've known since I was thirteen.  It wasn't a struggle for me.  I didn't question whether it was 'right' or 'wrong.'  I just knew it was me.  But I'm still completely closeted.  I'm part of a very religious community.  Even my choice to go to college was questioned.  It's seen as not trusting in God.  If my family knew I was gay, I'd be cut off completely.  Listen, they're not bad.  They aren't bad people.  It's just what they believe.   I'm not angry at them.  I'm angry at the situation.  If I choose to fall in love, then nobody that I've ever known will speak to me again.""",11/17/16 20:39,110795,3725,2931,46070,4479,448,21,59265,512
"""My father was on strike one Christmas.  I think I was six years old.  And whenever the union was on strike, we'd go without.  So there weren't many presents under the tree that year.  Dad explained to us that he was standing up for everybody, and that he needed our help.  He promised us that he'd get us more presents once he got back to work.  Then the night before Christmas, somebody broke into our house.  They slit the screen on one of the windows and stole everything.  I woke up to my mom screaming. All our presents were gone.  But that ended up being the best Christmas we ever had.  Because a few hours later, six guys from the union showed up, and they were carrying bags and bags of presents.""",11/17/16 14:08,215043,1828,8120,172364,35842,1303,51,5470,13
"""I think a lot of people live on the borderline of racism.  I work in a machine shop with about thirty older guys.  I don't think there is one bad guy in the group.  You'd like them if you met them.  All of them love their families.  But I'd say that I've heard eighty percent of them make racist comments of some sort.  A lot of the older guys drop 'n bombs.'   But if a black guy walks up, they'll be friendly.  They'll even go out to lunch with him and share a meal.  I honestly don't think they see themselves as racist.  Every one of them will deny it.  They'll point to the black guy that they're friendly with.  They won't point to the things they say when he's not around.""",11/16/16 20:10,133417,3734,14788,109854,3579,874,51,18285,774
"""If I think back, I get depressed.  If I think ahead, I get afraid.""",11/16/16 16:45,268094,5946,29901,226149,11194,653,182,29853,63
"""I work at a machine tool automation company.  We build the machines that build the cars.  High school wasn't for me.   I didn't respond well to being lectured and having things jammed into my brain.  So I started out sweeping floors at the factory, then I got moved into the saw shop, and now I do electrical installation.  I'm up to $17 an hour now.  And I've started studying PLC so I can move up even further.  There's actually a lot of opportunity in my field.  There's not much competition.  Nobody my age wants to do this stuff.  They all want to go to art school or make video games or something.  I think maybe it's because too many people are being told to do whatever they want.  Because no matter what you think you can be, there's still gotta be people like me.""",11/16/16 11:29,228498,4832,9590,207404,20035,929,48,74,8
